1,1,1,2010,69,528900
2,1,1,2011,74,689000
3,1,1,2013,49,585000
4,1,1,2012,104,619000
5,1,1,2014,31,740000
6,1,1,2012,59,642000
7,1,1,2013,49,720000
8,1,1,2011,45,580000
9,1,1,2013,69,700000
10,1,2,2014,64,950000
11,1,2,2014,82,830000
12,1,2,2014,52,820000
13,1,2,2013,74,795000
14,1,2,2014,82,870000
15,1,2,2016,94,950000
16,1,2,2014,92,749000
17,1,2,2014,118,577800
18,1,2,2011,140,505000
19,1,2,2015,123,799000
20,1,2,2015,29,1000000
21,1,2,2015,62,872600
22,1,2,2013,112,717900
23,1,2,2013,86,715000
24,1,2,2014,98,799000
25,1,2,2013,64,790000
26,1,2,2011,130,620000
27,1,2,2014,82,870000
28,1,2,2014,29,790000
29,1,2,2014,51,875000
30,1,2,2014,82,870000
31,1,2,2014,82,870000
32,1,3,2013,120,887000
33,1,3,2007,127,499000
34,1,3,1998,200,180000
35,1,3,2010,115,600000
36,1,3,2007,201,480000
37,1,3,2009,156,530600
38,1,3,2012,157,742000
39,1,3,2003,219,288500
40,1,3,2014,129,785000
41,1,3,2010,156,635000
42,1,3,2010,87,585000
43,1,3,1999,480,250000
44,1,3,2005,173,420000
45,1,3,2011,96,670000
46,1,3,2017,30,1550000
47,1,3,2002,230,260000
48,1,3,2012,160,950000
50,1,4,2016,30,1850000
51,1,4,2011,113,715400
52,1,4,2010,151,599000
53,1,4,2013,170,937000
54,1,4,2010,148,699000
55,1,4,2008,179,666000
56,1,4,2009,112,740000
57,1,4,2008,108,730000
58,1,4,2009,71,735000
59,1,4,2012,68,1120000
60,1,4,2014,74,1250000
61,1,4,2009,71,705000
62,1,4,2010,145,590000
63,1,5,2006,151,545000
64,1,5,2015,86,1687000
65,1,5,2008,150,553000
66,1,5,2011,160,790000
67,1,5,2011,176,750000
68,1,5,2011,168,813000
69,1,5,2014,160,1089700
70,1,5,2002,265,396400
71,1,5,2011,160,845000
72,1,5,2013,150,1020000
73,1,5,2006,152,565000
74,1,5,2009,144,630000
75,1,5,2012,155,840400
76,1,5,2002,228,319000
77,1,5,2016,45,2164900
78,1,5,2012,99,1053200
79,1,5,2014,132,899000
80,1,5,2013,58,1190000
81,1,5,2013,81,1550000
82,1,5,2006,150,550000
83,1,5,2011,165,800000
84,1,5,1998,310,230000
85,1,5,1999,328,280000
86,1,5,2007,220,410000
87,1,5,2013,115,1090000
88,1,5,2015,86,1799000
89,1,5,2014,82,900000
90,1,5,2008,150,700000
91,1,5,2009,142,630000
92,1,5,2010,106,729000
93,1,6,2003,397,330000
94,1,6,2008,150,525000
95,1,6,2008,149,525000
96,1,6,2008,150,560000
97,1,6,2004,130,330000
98,1,6,2007,145,535000
99,1,6,2006,130,465000
100,1,6,2001,180,250000
101,1,6,2004,245,587000
102,1,6,2012,100,900000
103,1,6,2008,150,553000
104,1,6,2008,150,560000
105,1,7,2006,311,599000
106,1,7,1995,216,150000
107,1,7,2009,163,550000
108,1,7,2010,97,1450000
109,1,7,1997,391,210000
110,1,7,2011,75,1352000
111,1,7,2010,198,895000
112,1,7,2010,204,680000
113,1,7,2010,198,950000
114,1,7,1997,328,170000
115,1,8,2015,45,1285000
116,1,8,2013,35,1182200
117,1,8,2013,107,1070000
118,1,8,2013,142,957000
119,1,8,2013,49,1250000
120,1,8,2013,111,1047900
121,1,8,2012,66,994200
122,1,8,2012,104,975000
123,1,8,2015,38,1350000
124,1,8,2013,102,1017200
125,1,8,2013,78,1025000
126,1,8,2013,100,970000
127,1,8,2014,38,1077000
128,1,8,2014,96,1099000
129,1,8,2012,56,935000
130,1,8,2014,94,1099000
131,1,8,2015,45,1379000
132,1,8,2012,104,929000
133,1,8,2013,49,1150000
134,1,8,2012,104,975000
135,1,8,2011,120,790000
136,1,9,2014,205,1250800
137,1,9,2011,58,995500
139,1,9,2010,164,778400
141,1,9,2012,99,1189000
142,1,9,2013,90,1399000
143,1,9,2011,130,878000
144,1,9,2011,130,878000
145,1,9,2011,115,920000
146,1,9,2015,179,1343700
147,1,9,2014,126,1421400
148,1,9,2013,87,1435200
149,1,9,2011,246,856300
150,1,9,2015,38,1690000
151,1,9,2012,119,1162700
152,1,9,2013,110,1242000
153,1,9,2014,100,1500000
154,1,9,2009,165,860000
155,1,9,2017,39,2500000
156,1,9,2012,144,1000000
157,1,9,2011,65,999000
158,1,9,2010,104,770000
159,1,9,2011,115,920000
160,1,10,2015,151,2677300
161,1,10,2008,179,990000
162,1,10,2010,203,1347500
163,1,10,2013,208,1650000
164,1,10,2015,96,2100000
165,1,10,2014,280,1695300
166,1,10,2015,137,2180000
167,1,10,2011,160,1049000
168,1,10,2012,94,1191000
169,1,10,2014,132,1839200
170,1,10,2013,208,1650000
171,1,10,2012,184,1180000
172,1,10,2012,125,1299000
174,1,10,2013,135,1280000
175,1,10,2007,275,880000
176,1,10,2009,179,999000
177,1,10,2009,146,759000
178,1,10,2007,165,645000
179,1,10,2016,101,2700000
180,1,10,2011,115,1390000
181,1,11,2017,2,6800000
182,1,11,2008,60,1350000
187,1,12,1987,150,70000
189,1,12,1994,416,105000
190,1,12,1993,400,127000
191,1,12,1993,417,125000
192,1,12,1990,457,95000
195,1,12,1989,411,75000
